epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.75612,3.7984,4.57854,4.20275,0.00048,0.06433,0.00027,6e-05,4.57196,5.3781,4.16022,0.00052,0.00052,0.00052
2,12.4418,3.50527,4.08986,4.01811,0.00039,0.05263,0.00021,6e-05,4.59823,5.17053,4.17166,0.00104951,0.00104951,0.00104951
3,17.0756,3.2555,3.8663,3.66366,0.00035,0.04678,0.0002,6e-05,4.50433,4.55068,4.04493,0.00156832,0.00156832,0.00156832
4,21.6646,3.1,3.38981,3.3235,0.09833,0.21053,0.03998,0.01509,2.9819,5.53229,3.51209,0.0019406,0.0019406,0.0019406
5,26.3602,2.9155,3.1301,3.0723,0.31259,0.36257,0.22472,0.0919,2.73759,6.12255,2.80749,0.0019208,0.0019208,0.0019208
6,30.9397,2.80059,3.00513,2.91857,0.55696,0.4386,0.43142,0.19366,2.54133,5.06441,2.59533,0.001901,0.001901,0.001901
7,35.5586,2.6774,2.92297,2.83454,0.26917,0.39181,0.17851,0.06871,2.43522,6.64854,2.49646,0.0018812,0.0018812,0.0018812
8,40.1603,2.55738,2.64673,2.64809,0.74976,0.52566,0.57793,0.27301,2.2896,3.08326,2.34028,0.0018614,0.0018614,0.0018614
9,44.807,2.56625,2.6469,2.62005,0.81247,0.53801,0.61506,0.30638,2.26719,3.24256,2.38753,0.0018416,0.0018416,0.0018416
10,49.421,2.46727,2.61501,2.54878,0.85094,0.52047,0.60895,0.30574,2.24643,3.06712,2.23694,0.0018218,0.0018218,0.0018218
11,54.0029,2.4584,2.53622,2.53858,0.72817,0.52632,0.58682,0.30781,2.15629,2.81552,2.13497,0.001802,0.001802,0.001802
12,58.628,2.41055,2.40512,2.39303,0.77224,0.5614,0.6089,0.31498,2.2352,2.17621,2.13038,0.0017822,0.0017822,0.0017822
13,63.2176,2.3209,2.39894,2.37804,0.80932,0.59064,0.65535,0.32945,2.13871,1.78594,2.05447,0.0017624,0.0017624,0.0017624
14,67.8516,2.33203,2.43774,2.3894,0.80903,0.61935,0.64818,0.32726,2.12214,1.84051,2.01672,0.0017426,0.0017426,0.0017426
15,72.4313,2.28752,2.33114,2.30887,0.80482,0.57874,0.65213,0.33393,2.18067,1.87771,2.10814,0.0017228,0.0017228,0.0017228
16,77.092,2.28115,2.23231,2.27246,0.87435,0.64912,0.71716,0.36978,2.05151,1.74473,1.99351,0.001703,0.001703,0.001703
17,81.6659,2.27002,2.33502,2.29978,0.79993,0.56116,0.63568,0.29677,2.1787,1.95493,2.04942,0.0016832,0.0016832,0.0016832
18,86.3247,2.18507,2.20591,2.20501,0.84217,0.59649,0.69613,0.33639,2.11016,1.69345,1.97978,0.0016634,0.0016634,0.0016634
19,90.9318,2.19249,2.11847,2.14331,0.8268,0.63158,0.70671,0.3688,1.94678,1.61371,1.88647,0.0016436,0.0016436,0.0016436
20,95.5621,2.11761,2.20549,2.1972,0.80732,0.61988,0.70816,0.33758,2.04973,1.62899,1.90638,0.0016238,0.0016238,0.0016238
21,100.178,2.15262,2.18413,2.16186,0.85277,0.64354,0.71876,0.38112,1.9509,1.57828,1.90666,0.001604,0.001604,0.001604
22,104.816,2.1942,2.18508,2.20375,0.85483,0.61985,0.72004,0.36799,2.01313,1.62864,1.99371,0.0015842,0.0015842,0.0015842
23,109.683,2.05066,2.09704,2.05725,0.88797,0.60255,0.71658,0.37445,1.98214,1.74897,1.87105,0.0015644,0.0015644,0.0015644
24,114.303,2.08097,2.06126,2.05532,0.86621,0.60583,0.67322,0.37555,1.87575,1.50818,1.83604,0.0015446,0.0015446,0.0015446
25,118.989,2.03633,2.02921,2.01989,0.86981,0.66424,0.75842,0.39593,1.86604,1.51537,1.78262,0.0015248,0.0015248,0.0015248
26,123.638,2.04038,2.04028,2.09192,0.85595,0.69497,0.74538,0.38149,1.91015,1.45661,1.79353,0.001505,0.001505,0.001505
27,128.319,2.01282,2.02261,2.03442,0.88586,0.63545,0.70291,0.37933,1.88298,1.54209,1.78601,0.0014852,0.0014852,0.0014852
28,132.966,2.03714,2.00357,2.04387,0.9352,0.63158,0.75093,0.39324,1.92018,1.41268,1.81341,0.0014654,0.0014654,0.0014654
29,137.646,1.97413,2.01086,1.99576,0.8568,0.67251,0.72022,0.40019,1.85359,1.52449,1.78359,0.0014456,0.0014456,0.0014456
30,142.343,1.9804,1.89296,1.98308,0.74757,0.66082,0.71827,0.37729,1.862,1.42859,1.72277,0.0014258,0.0014258,0.0014258
31,147.073,1.95196,1.91072,1.97565,0.87848,0.67641,0.74165,0.38553,1.89231,1.46029,1.78426,0.001406,0.001406,0.001406
32,151.754,1.95106,1.92601,1.96666,0.90534,0.67116,0.77476,0.42544,1.76228,1.36253,1.65187,0.0013862,0.0013862,0.0013862
33,156.497,1.91177,1.9156,1.96033,0.87751,0.7193,0.7711,0.41844,1.80137,1.50564,1.71284,0.0013664,0.0013664,0.0013664
34,161.179,1.93232,1.82168,1.91372,0.86484,0.67354,0.76048,0.41838,1.77847,1.35249,1.66939,0.0013466,0.0013466,0.0013466
35,165.823,2.06832,2.1105,2.01498,0.92409,0.71193,0.78344,0.40838,1.79126,1.36569,1.66308,0.0013268,0.0013268,0.0013268
36,170.508,1.87238,1.81822,1.88496,0.89143,0.67225,0.77076,0.41952,1.7064,1.43957,1.61984,0.001307,0.001307,0.001307
37,175.183,1.84925,1.80436,1.8721,0.9136,0.67251,0.76961,0.41446,1.7719,1.42694,1.67626,0.0012872,0.0012872,0.0012872
38,179.969,1.8726,1.83875,1.88661,0.93786,0.7061,0.78569,0.44442,1.70279,1.25803,1.63469,0.0012674,0.0012674,0.0012674
39,184.737,1.87051,1.85007,1.89524,0.89135,0.67251,0.74614,0.41054,1.82178,1.43384,1.70415,0.0012476,0.0012476,0.0012476
40,189.441,1.86466,1.83362,1.86746,0.80233,0.67251,0.72617,0.39722,1.83933,1.46394,1.71664,0.0012278,0.0012278,0.0012278
41,194.138,1.85258,1.84995,1.88549,0.89284,0.69591,0.77528,0.42378,1.75292,1.39472,1.61921,0.001208,0.001208,0.001208
42,198.838,1.83065,1.77283,1.8565,0.93378,0.7193,0.80304,0.44189,1.66867,1.29918,1.59726,0.0011882,0.0011882,0.0011882
43,203.576,1.82736,1.72497,1.80242,0.95078,0.6778,0.77978,0.41541,1.8017,1.42228,1.67224,0.0011684,0.0011684,0.0011684
44,208.311,1.85796,1.81278,1.88791,0.91432,0.74888,0.79975,0.41109,1.81426,1.39294,1.6543,0.0011486,0.0011486,0.0011486
45,213.09,1.8223,1.79484,1.82847,0.90253,0.73684,0.7968,0.45368,1.73171,1.38506,1.66365,0.0011288,0.0011288,0.0011288
46,217.893,1.77261,1.69824,1.7973,0.89305,0.68365,0.75615,0.41237,1.67735,1.38267,1.57518,0.001109,0.001109,0.001109
47,222.603,1.81931,1.70656,1.80409,0.90998,0.70175,0.77116,0.43687,1.7222,1.34597,1.60418,0.0010892,0.0010892,0.0010892
48,227.393,1.77344,1.7114,1.78625,0.9365,0.69002,0.79006,0.43324,1.63376,1.30978,1.56499,0.0010694,0.0010694,0.0010694
49,232.362,1.81036,1.73557,1.84131,0.92648,0.73099,0.78399,0.431,1.63941,1.28625,1.57195,0.0010496,0.0010496,0.0010496
50,237.135,1.74846,1.74254,1.83879,0.90075,0.73099,0.7812,0.42244,1.64227,1.33431,1.56622,0.0010298,0.0010298,0.0010298
51,241.88,1.76374,1.69161,1.76553,0.88373,0.7076,0.77846,0.44209,1.61995,1.2758,1.52034,0.00101,0.00101,0.00101
52,246.722,1.74499,1.69507,1.79837,0.89005,0.72515,0.78654,0.43121,1.64106,1.24785,1.57054,0.0009902,0.0009902,0.0009902
53,251.439,1.69986,1.61502,1.72849,0.92624,0.73684,0.80597,0.44673,1.62322,1.23371,1.54918,0.0009704,0.0009704,0.0009704
54,256.252,1.7125,1.57718,1.70816,0.93923,0.72309,0.80523,0.44953,1.58353,1.26588,1.49876,0.0009506,0.0009506,0.0009506
55,261.104,1.69881,1.69584,1.77545,0.89688,0.73684,0.80155,0.43632,1.6391,1.31772,1.52252,0.0009308,0.0009308,0.0009308
56,265.871,1.73612,1.7677,1.77444,0.91701,0.73099,0.80931,0.42557,1.60945,1.28084,1.5279,0.000911,0.000911,0.000911
57,270.798,1.75056,1.67084,1.75453,0.9151,0.73099,0.79025,0.43386,1.66778,1.32259,1.55421,0.0008912,0.0008912,0.0008912
58,275.502,1.68372,1.59702,1.71052,0.92983,0.7076,0.78336,0.4422,1.64515,1.32934,1.57701,0.0008714,0.0008714,0.0008714
59,280.264,1.70036,1.59962,1.71284,0.92712,0.7076,0.78967,0.44862,1.65091,1.25977,1.54679,0.0008516,0.0008516,0.0008516
60,285.023,1.69798,1.64403,1.74848,0.86979,0.73099,0.78867,0.46058,1.63498,1.3534,1.55707,0.0008318,0.0008318,0.0008318
61,289.794,1.79495,1.722,1.85552,0.93074,0.74269,0.81331,0.45572,1.59284,1.27513,1.50603,0.000812,0.000812,0.000812
62,294.588,1.69675,1.61965,1.73221,0.86924,0.73099,0.78516,0.43832,1.54385,1.25705,1.45626,0.0007922,0.0007922,0.0007922
63,299.382,1.63838,1.50719,1.63696,0.9003,0.73684,0.8068,0.46814,1.62953,1.24953,1.52247,0.0007724,0.0007724,0.0007724
64,304.225,1.65028,1.50292,1.6479,0.92629,0.7349,0.81308,0.4661,1.56319,1.23264,1.48884,0.0007526,0.0007526,0.0007526
65,308.999,1.75704,1.71952,1.8009,0.90469,0.72161,0.80439,0.4663,1.6182,1.21536,1.50104,0.0007328,0.0007328,0.0007328
66,313.795,1.69939,1.59215,1.72953,0.87776,0.75586,0.79943,0.44488,1.63993,1.23169,1.51818,0.000713,0.000713,0.000713
